N-Number;Company_ID;Airplane_Model;Engine_Type_Id;Aircraft_Type;Year
215NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
216NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
217NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
218NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
219NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
220NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
221NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
222NV;83;A320-214;1;Fixed Wing Multi-Engine;None
223NV;83;A320-214;1;Fixed Wing Multi-Engine;None
224NV;83;A320-214;1;Fixed Wing Multi-Engine;None
225NV;83;A320-214;1;Fixed Wing Multi-Engine;1997
226NV;83;A320-214;1;Fixed Wing Multi-Engine;1997
227NV;83;A320-214;1;Fixed Wing Multi-Engine;1997
228NV;83;A320-214;1;Fixed Wing Multi-Engine;1997
229NV;83;A320-214;1;Fixed Wing Multi-Engine;1997
230NV;83;A320-214;1;Fixed Wing Multi-Engine;2001
231NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
232NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
233NV;83;A320-214;1;Fixed Wing Multi-Engine;2003
234NV;83;A320-214;1;Fixed Wing Multi-Engine;2001
235NV;83;A320-214;1;Fixed Wing Multi-Engine;None
236NV;88;A320-214;1;Fixed Wing Multi-Engine;None
237NV;88;A320-214;1;Fixed Wing Multi-Engine;None
240NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
241NV;83;A320-214;1;Fixed Wing Multi-Engine;2000
242NV;83;A320-214;1;Fixed Wing Multi-Engine;None
243NV;83;A320-214;1;Fixed Wing Multi-Engine;None
244NV;83;A320-214;1;Fixed Wing Multi-Engine;None
245NV;83;A320-214;1;Fixed Wing Multi-Engine;None
246NV;15;A320-214;1;Fixed Wing Multi-Engine;2017
247NV;83;A320-214;1;Fixed Wing Multi-Engine;2017
248NV;83;A320-214;1;Fixed Wing Multi-Engine;2017
249NV;83;A320-214;1;Fixed Wing Multi-Engine;2017
250NV;83;A320-214;1;Fixed Wing Multi-Engine;2017
251NV;15;A320-214;1;Fixed Wing Multi-Engine;2017
252NV;15;A320-214;1;Fixed Wing Multi-Engine;2017
253NV;15;A320-214;1;Fixed Wing Multi-Engine;2017
254NV;15;A320-214;1;Fixed Wing Multi-Engine;2017
255NV;15;A320-214;1;Fixed Wing Multi-Engine;2017
256NV;15;A320-214;1;Fixed Wing Multi-Engine;2018
257NV;15;A320-214;1;Fixed Wing Multi-Engine;2018
258NV;21;A320-214;1;Fixed Wing Multi-Engine;2009
259NV;21;A320-214;1;Fixed Wing Multi-Engine;2009
260NV;21;A320-214;1;Fixed Wing Multi-Engine;2009
261NV;21;A320-214;1;Fixed Wing Multi-Engine;2009
262NV;21;A320-214;1;Fixed Wing Multi-Engine;2009
271NV;15;A320-214;1;Fixed Wing Multi-Engine;2006
272NV;15;A320-214;1;Fixed Wing Multi-Engine;2007
273NV;15;A320-214;1;Fixed Wing Multi-Engine;2007
274NV;15;A320-214;1;Fixed Wing Multi-Engine;2007
275NV;83;A320-214;1;Fixed Wing Multi-Engine;None
276NV;15;A320-214;1;Fixed Wing Multi-Engine;2019
277NV;83;A320-214;1;Fixed Wing Multi-Engine;2007
279NV;83;A320-214;1;Fixed Wing Multi-Engine;None
280NV;37;A320-214;1;Fixed Wing Multi-Engine;None
281NV;37;A320-214;1;Fixed Wing Multi-Engine;None
282NV;83;A320-214;1;Fixed Wing Multi-Engine;None
283NV;15;A320-214;1;Fixed Wing Multi-Engine;None
301NV;83;A319-112;1;Fixed Wing Multi-Engine;2004
302NV;83;A319-112;1;Fixed Wing Multi-Engine;2005
303NV;83;A319-112;1;Fixed Wing Multi-Engine;2004
304NV;83;A319-112;1;Fixed Wing Multi-Engine;2004
305NV;83;A319-112;1;Fixed Wing Multi-Engine;2005
306NV;83;A319-112;1;Fixed Wing Multi-Engine;2005
307NV;83;A319-112;1;Fixed Wing Multi-Engine;2005
308NV;83;A319-112;1;Fixed Wing Multi-Engine;None
309NV;83;A319-111;1;Fixed Wing Multi-Engine;2007
310NV;83;A319-112;1;Fixed Wing Multi-Engine;2004
311NV;83;A319-111;1;Fixed Wing Multi-Engine;2006
312NV;83;A319-111;1;Fixed Wing Multi-Engine;2004
313NV;83;A319-111;1;Fixed Wing Multi-Engine;2004
314NV;83;A319-111;1;Fixed Wing Multi-Engine;None
315NV;83;A319-111;1;Fixed Wing Multi-Engine;None
316NV;83;A319-111;1;Fixed Wing Multi-Engine;2005
317NV;83;A319-111;1;Fixed Wing Multi-Engine;2005
318NV;83;A319-111;1;Fixed Wing Multi-Engine;2005
319NV;83;A319-111;1;Fixed Wing Multi-Engine;2005
320NV;83;A319-111;1;Fixed Wing Multi-Engine;None
321NV;83;A319-111;1;Fixed Wing Multi-Engine;None
322NV;83;A319-111;1;Fixed Wing Multi-Engine;None
323NV;83;A319-111;1;Fixed Wing Multi-Engine;None
324NV;83;A319-112;1;Fixed Wing Multi-Engine;2006
325NV;83;A319-112;1;Fixed Wing Multi-Engine;None
326NV;83;A319-111;1;Fixed Wing Multi-Engine;2005
327NV;83;A319-111;1;Fixed Wing Multi-Engine;2005
328NV;83;A319-111;1;Fixed Wing Multi-Engine;2006
329NV;83;A319-111;1;Fixed Wing Multi-Engine;None
330NV;83;A319-111;1;Fixed Wing Multi-Engine;2006
331NV;83;A319-111;1;Fixed Wing Multi-Engine;None
332NV;83;A319-111;1;Fixed Wing Multi-Engine;None
333NV;83;A319-111;1;Fixed Wing Multi-Engine;None
334NV;83;A319-111;1;Fixed Wing Multi-Engine;2006
335NV;83;A319-111;1;Fixed Wing Multi-Engine;2006
336NV;83;A319-111;1;Fixed Wing Multi-Engine;2004
337NV;83;A319-111;1;Fixed Wing Multi-Engine;2004
338NV;83;A319-112;1;Fixed Wing Multi-Engine;None
N002JB;;NULL;;NULL;NULL
N016JB;;NULL;;NULL;NULL
N017JB;;NULL;;NULL;NULL
N027JB;;NULL;;NULL;NULL
N029JB;;NULL;;NULL;NULL
N038JB;;NULL;;NULL;NULL
N101DQ;33;A321-211;1;Fixed Wing Multi-Engine;2020
N101DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2018
N101HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N101NK;;TIERRA II;;NULL;None
N101NN;93;A321-231;1;Fixed Wing Multi-Engine;2013
N102DN;33;A321-211;1;Fixed Wing Multi-Engine;2020
N102DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;None
N102HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N102NN;93;A321-231;1;Fixed Wing Multi-Engine;2013
N102UW;93;A320-214;1;Fixed Wing Multi-Engine;1998
N103DU;33;BD-500-1A10;1;Fixed Wing Multi-Engine;None
N103HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N103NN;93;A321-231;1;Fixed Wing Multi-Engine;2013
N103SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N103US;93;A320-214;1;Fixed Wing Multi-Engine;1999
N104DU;33;BD-500-1A10;1;Fixed Wing Multi-Engine;None
N104HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N104NN;93;A321-231;1;Fixed Wing Multi-Engine;2013
N104UW;93;A320-214;1;Fixed Wing Multi-Engine;1999
N10575;89;EMB-145LR;1;Fixed Wing Multi-Engine;2002
N105DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N105HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N105NN;93;A321-231;1;Fixed Wing Multi-Engine;2013
N105SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N105UW;93;A320-214;1;Fixed Wing Multi-Engine;1999
N106DU;;NULL;;NULL;NULL
N106HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N106NN;93;A321-231;1;Fixed Wing Multi-Engine;2014
N106SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N107DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N107HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N107NN;93;A321-231;1;Fixed Wing Multi-Engine;2014
N107SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N107US;16;A320-214;1;Fixed Wing Multi-Engine;1999
N108DQ;21;BD-500-1A10;1;Fixed Wing Multi-Engine;None
N108HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N108NN;16;A321-231;1;Fixed Wing Multi-Engine;2014
N108SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N108UW;16;A320-214;1;Fixed Wing Multi-Engine;1999
N109DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N109HQ;94;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N109NN;93;A321-231;1;Fixed Wing Multi-Engine;2014
N109SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N109UW;16;A320-214;1;Fixed Wing Multi-Engine;1999
N110AN;16;A321-231;1;Fixed Wing Multi-Engine;2014
N110DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N110HQ;94;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N110SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N110UW;16;A320-214;1;Fixed Wing Multi-Engine;1999
N11106;89;EMB-145XR;1;Fixed Wing Multi-Engine;2002
N11107;89;EMB-145XR;1;Fixed Wing Multi-Engine;2002
N11109;89;EMB-145XR;1;Fixed Wing Multi-Engine;2002
N11164;89;EMB-145XR;1;Fixed Wing Multi-Engine;2004
N11165;89;EMB-145XR;1;Fixed Wing Multi-Engine;2004
N11184;89;EMB-145XR;1;Fixed Wing Multi-Engine;2005
N11189;89;EMB-145XR;1;Fixed Wing Multi-Engine;2005
N11192;89;EMB-145XR;1;Fixed Wing Multi-Engine;2005
N111HQ;94;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N111NG;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N111US;16;A320-214;1;Fixed Wing Multi-Engine;1999
N111ZM;16;A321-231;1;Fixed Wing Multi-Engine;2014
N11206;93;737-824;1;Fixed Wing Multi-Engine;2000
N112AN;16;A321-231;1;Fixed Wing Multi-Engine;2014
N112DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N112HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N112US;21;A320-214;1;Fixed Wing Multi-Engine;1999
N113AN;16;A321-231;1;Fixed Wing Multi-Engine;2014
N113DQ;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N113HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N113SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N114DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N114HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N114NN;16;A321-231;1;Fixed Wing Multi-Engine;2014
N114SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N114UW;16;A320-214;1;Fixed Wing Multi-Engine;1999
N11535;89;EMB-145LR;1;Fixed Wing Multi-Engine;2001
N11536;89;EMB-145LR;1;Fixed Wing Multi-Engine;2001
N11539;89;EMB-145LR;1;Fixed Wing Multi-Engine;2001
N11544;89;EMB-145LR;1;Fixed Wing Multi-Engine;2002
N11547;89;EMB-145LR;1;Fixed Wing Multi-Engine;2002
N11548;89;EMB-145LR;1;Fixed Wing Multi-Engine;2002
N11551;89;EMB-145LR;1;Fixed Wing Multi-Engine;2002
N115DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N115HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N115NN;16;A321-231;1;Fixed Wing Multi-Engine;2014
N116AN;93;A321-231;1;Fixed Wing Multi-Engine;2014
N116DU;33;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N116HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N116SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N117AN;16;A321-231;1;Fixed Wing Multi-Engine;2014
N117DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N117HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N117SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N117UW;93;A320-214;1;Fixed Wing Multi-Engine;2000
N118DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N118HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N118NN;93;A321-231;1;Fixed Wing Multi-Engine;2014
N118SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N118US;93;A320-214;1;Fixed Wing Multi-Engine;2000
N119DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N119HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N119NN;93;A321-231;1;Fixed Wing Multi-Engine;2014
N119SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N119US;93;A320-214;1;Fixed Wing Multi-Engine;2000
N12003;89;787-10;1;Fixed Wing Multi-Engine;None
N12004;89;787-10;1;Fixed Wing Multi-Engine;2019
N12005;89;787-10;1;Fixed Wing Multi-Engine;2019
N12006;89;787-10;1;Fixed Wing Multi-Engine;2019
N1200K;33;767-332;1;Fixed Wing Multi-Engine;1998
N12010;89;787-10;1;Fixed Wing Multi-Engine;2019
N12012;89;787-10;1;Fixed Wing Multi-Engine;2020
N1201P;33;767-332;1;Fixed Wing Multi-Engine;1998
N12028;16;A319-115;1;Fixed Wing Multi-Engine;2015
N120DU;21;BD-500-1A10;1;Fixed Wing Multi-Engine;2019
N120EE;93;A321-231;1;Fixed Wing Multi-Engine;2014
N120HQ;73;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2007
N120SY;79;ERJ 170-200 LR;1;Fixed Wing Multi-Engine;2014
N12109;89;757-224;1;Fixed Wing Multi-Engine;1994
N12114;89;757-224;1;Fixed Wing Multi-Engine;1995
N12116;89;757-224;1;Fixed Wing Multi-Engine;1996
