City;State;
BIRMINGHAM;ALABAMA;
DOTHAN;ALABAMA;
HUNTSVILLE;ALABAMA;
MOBILE;ALABAMA;
MONTGOMERY;ALABAMA;
ADAK ISLAND;ALASKA;
ANCHORAGE;ALASKA;
BARROW;ALASKA;
BETHEL;ALASKA;
COLD BAY;ALASKA;
CORDOVA;ALASKA;
DEADHORSE;ALASKA;
DILLINGHAM;ALASKA;
FAIRBANKS;ALASKA;
GUSTAVUS;ALASKA;
JUNEAU;ALASKA;
KETCHIKAN;ALASKA;
KING SALMON;ALASKA;
KODIAK;ALASKA;
KOTZEBUE;ALASKA;
NOME;ALASKA;
PETERSBURG;ALASKA;
SITKA;ALASKA;
WRANGELL;ALASKA;
YAKUTAT;ALASKA;
FLAGSTAFF;ARIZONA;
PHOENIX;ARIZONA;
PRESCOTT;ARIZONA;
SCOTTSDALE;ARIZONA;
TUCSON;ARIZONA;
YUMA;ARIZONA;
FAYETTEVILLE;ARKANSAS;
FORT SMITH;ARKANSAS;
LITTLE ROCK;ARKANSAS;
NEWPORT;ARKANSAS;
PINE BLUFF;ARKANSAS;
TEXARKANA;ARKANSAS;
ARCATA/EUREKA;CALIFORNIA;
BAKERSFIELD;CALIFORNIA;
BURBANK;CALIFORNIA;
BURLINGAME;CALIFORNIA;
FRESNO;CALIFORNIA;
LONG BEACH;CALIFORNIA;
LOS ANGELES;CALIFORNIA;
MAMMOTH LAKES;CALIFORNIA;
MONTEREY;CALIFORNIA;
MOUNT SHASTA;CALIFORNIA;
OAKLAND;CALIFORNIA;
ONTARIO;CALIFORNIA;
PALM SPRINGS;CALIFORNIA;
REDDING;CALIFORNIA;
SACRAMENTO;CALIFORNIA;
SAN DIEGO;CALIFORNIA;
SAN FRANCISCO;CALIFORNIA;
SAN JOSE;CALIFORNIA;
SAN LUIS OBISPO;CALIFORNIA;
SANTA ANA;CALIFORNIA;
SANTA BARBARA;CALIFORNIA;
SANTA MARIA;CALIFORNIA;
SANTA ROSA;CALIFORNIA;
STOCKTON;CALIFORNIA;
THOUSAND OAKS;CALIFORNIA;
ASPEN;COLORADO;
COLORADO SPRINGS;COLORADO;
DENVER;COLORADO;
DURANGO;COLORADO;
EAGLE;COLORADO;
GRAND JUNCTION;COLORADO;
GUNNISON;COLORADO;
HAYDEN;COLORADO;
MONTROSE/DELTA;COLORADO;
PUEBLO;COLORADO;
HARTFORD;CONNECTICUT;
NEW HAVEN;CONNECTICUT;
