,City,State
1,ABERDEEN,SOUTH DAKOTA
2,ABILENE,TEXAS
3,ADAK ISLAND,ALASKA
4,AGUADILLA,PUERTO RICO
5,AKRON,OHIO
6,ALBANY,NEW YORK
7,ALBANY,GEORGIA
8,ALBUQUERQUE,NEW MEXICO
9,ALEXANDRIA,LOUISIANA
10,ALLANTA,GEORGIA
11,ALLENTOWN/BETHLEHEM/EASTON,PENNSYLVANIA
12,ALPENA,MICHIGAN
13,ALTANTA,GEORGIA
14,AMARILLO,TEXAS
15,ANCHORAGE,ALASKA
16,APPLETON,WISCONSIN
17,ARCATA/EUREKA,CALIFORNIA
18,ARLINGTON,VIRGINIA
19,ASHEVILLE,NORTH CAROLINA
20,ASHLAND,WEST VIRGINIA
21,ASPEN,COLORADO
22,ATLANTA,GEORGIA
23,ATLANTIC CITY,NEW JERSEY
24,AUGUSTA,GEORGIA
25,AURORA,OREGON
26,AUSTIN,TEXAS
27,BAKERSFIELD,CALIFORNIA
28,BALTIMORE,MARYLAND
29,BANGOR,MAINE
30,BARROW,ALASKA
31,BATON ROUGE,LOUISIANA
32,BEAUFORT,NORTH CAROLINA
33,BEAUMONT/PORT ARTHUR,TEXAS
34,BELLEVILLE,PENNSYLVANIA
35,BELLEVILLE,ILLINOIS
36,BELLINGHAM,WASHINGTON
37,BEMIDJI,MINNESOTA
38,BEND,OREGON
39,BEND/REDMOND,OREGON
40,BETHEL,ALASKA
41,BILLINGS,MONTANA
42,BINGHAMTON,NEW YORK
43,BIRMINGHAM,ALABAMA
44,BISMARCK/MANDAN,NORTH DAKOTA
45,BLOOMINGTON/NORMAL,ILLINOIS
46,BOISE,IDAHO
47,BOSTON,MASSACHUSETTS
48,BOZEMAN,MONTANA
49,BRAINERD,MINNESOTA
50,BRANSON,MISSOURI
51,BRISTOL/JOHNSON CITY/KINGSPORT,TENNESSEE
52,BROWNSVILLE,TEXAS
53,BRUNSWICK,GEORGIA
54,BUFFALO,NEW YORK
55,BURBANK,CALIFORNIA
56,BURLINGAME,CALIFORNIA
57,BURLINGTON,VERMONT
