id;Name;City
24;200 SOUTH AVENUE LLC;410
33;AERIAL PHOTOGRAPHY SOLUTIONS LLC;88
50;AERO CAPITAL SOLUTIONS INC;41
60;AERO DAVIS LLC;410
16;AEROCENTURY CORP;363
129;AEROLEASE 34023 TRUST;410
111;AEROTHRUST HOLDINGS LEASING LLC;281
2;AFS INVESTMENTS 48 LLC;396
123;AFS INVESTMENTS 54 LLC;396
148;AFS INVESTMENTS 55 LLC;396
136;AFS INVESTMENTS 56 LLC;396
79;AFS INVESTMENTS 57 LLC;396
14;AFS INVESTMENTS 67 LLC;396
45;AFS INVESTMENTS 71 LLC;396
149;AFS INVESTMENTS I INC;396
51;AIRCRAFT HOLDING SOLUTIONS LLC TRUSTEE;392
116;AIRCRAFT MSN 28654 STATUTORY TRUST;104
145;AIRCRAFT MSN 32582 STATUTORY TRUST;104
83;AIRCRAFT MSN 3977 STATUTORY TRUST;104
84;ALASKA AIRLINES INC;404
130;ALASKA AIRLINES INC;100
43;ALC A320 7095 LLC;365
88;ALC A320 7272 LLC;365
80;ALC A321 8579 LLC;365
64;ALC A321 8640 LLC;365
131;ALC A332 1316 LLC;78
141;ALC A332 1732 LLC;365
124;ALC B377 30746 LLC;101
25;ALLEGIANT AIR LLC;77
70;AMERICAN AIRLINES INC;374
75;AMERICAN AIRLINES INC;374
113;AMERICAN AIRLINES INC;374
97;AWAS 2570 TRUST;5
89;AWAS 2595 TRUST;5
143;AWAS 30096 TRUST;5
78;AWAS 4991 TRUST;410
35;B & B AIR ACQUISITION 3417 STATUTORY TRUST;104
61;BALANCED INNOVATIVE TEACHING STRATEGIES INC;397
115;BANK OF UTAH TRUSTEE;104
127;BARD JOHN A;390
41;BCC EQUIPMENT LEASING CORP;100
117;BELTZ JOE M;367
106;BETTS JOHN P;360
20;BOEING COMPANY;100
56;BOOTHEEL AG AIR SERVICES LLC;381
48;BRANSCUM JEROME;368
119;BYLER JAMES H;361
72;CARGO AIRCRAFT MANAGEMENT INC;411
38;CLARK AVIATION LLC;372
6;CLYDESDALE AVIATION HOLDINGS LLC;407
15;DELTA AIR LINES;1
86;DELTA AIR LINES INC;1
112;DELTA AIR LINES INC;1
132;DELTA AIR LINES INC;1
71;DELTA AIR LNES INC;1
109;DESOUZA FERDINAND E;373
103;DOUGHERTY AIR TRUSTEE LLC TRUSTEE;16
101;DUGGAN HOLDINGS LLC;394
73;DUSTLAND LLC;77
22;EADS NORTH AMERICA;358
137;EARLY DERRICK A;375
105;EDDY PETER J;389
28;ENVOY AIR INC;380
100;FALCON MSN 2695 TRUST;410
82;FALCON MSN 2893 TRUST;410
126;FALCON MSN 2898 TRUST;410
49;FARMAIR LLC;383
125;GEORGE'S AVIATION SERVICES INC;284
96;HAWAIIAN AIRLINES INC;284
122;HAWK LEASING INC;100
121;JBA HOLDINGS LLC;364
65;JET BLUE AIRWAYS CORP;385
8;JETBLUE AIRWAYS;385
59;JETBLUE AIRWAYS CORP;385
76;JETBLUE AIRWAYS CORP;385
1;JETBLUE AIRWAYS CORPORATION;385
34;JET-I 2616 OWNER TRUST;410
42;JET-I 2740 OWNER TRUST;410
128;JETRAN LLC;378
147;JM AIR LLC;384
47;KEEVAIR LLC;400
94;KLC 158 LLC;117
114;LARSON JOHN H;362
120;LEWIS UNIVERSITY;401
18;MASON JOHN M;382
10;MATTERN RODNEY M;391
118;MCCART AVIATION INC;377
11;MCNEIL KENNETH S;366
27;MESA AIRLINES INC;93
29;MSN 30100 TRUST;410
21;N524VA TRUST;410
31;N633VA TRUST;410
12;NATIONAL AIRCRAFT LEASING CORP;376
52;OKLAHOMA DEPARTMENT OF CAREER & TECH EDUCATION;288
108;PARKER JAMES E JR;387
98;PELLEGRINI AVIATION LLC;371
55;POTTER CRAIG S;399
110;PSA AIRLINES INC;408
